Suburb,Rooms,Type,Price,Date,Postcode,Bathroom,Car,Lattitude,Longtitude,Regionname,PriceRange,Year,Season,Month
Abbotsford,2,h,1480000.0,2016-03-12,3067.0,1.0,1.0,-37.7996,144.9984,Northern Metropolitan,1M - 3M,2016,Autumn,March
Abbotsford,2,h,1035000.0,2016-04-02,3067.0,1.0,0.0,-37.8079,144.9934,Northern Metropolitan,1M - 3M,2016,Autumn,April
Abbotsford,3,h,1465000.0,2017-04-03,3067.0,2.0,0.0,-37.8093,144.9944,Northern Metropolitan,1M - 3M,2017,Autumn,April
Abbotsford,3,h,850000.0,2017-04-03,3067.0,2.0,1.0,-37.7969,144.9969,Northern Metropolitan,0.1M - 1M,2017,Autumn,April
Abbotsford,4,h,1600000.0,2016-04-06,3067.0,1.0,2.0,-37.8072,144.9941,Northern Metropolitan,1M - 3M,2016,Autumn,April
Abbotsford,2,h,941000.0,2016-07-05,3067.0,1.0,0.0,-37.8041,144.9953,Northern Metropolitan,0.1M - 1M,2016,Winter,July
Abbotsford,3,h,1876000.0,2016-07-05,3067.0,2.0,0.0,-37.8024,144.9993,Northern Metropolitan,1M - 3M,2016,Winter,July
Abbotsford,2,h,1636000.0,2016-08-10,3067.0,1.0,2.0,-37.806,144.9954,Northern Metropolitan,1M - 3M,2016,Winter,August
Abbotsford,3,h,1000000.0,2016-08-10,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,2,t,745000.0,2016-08-10,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,1,u,300000.0,2016-08-10,3067.0,1.0,1.0,-37.8008,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,2,h,1097000.0,2016-08-10,3067.0,1.0,2.0,-37.801,144.9989,Northern Metropolitan,1M - 3M,2016,Winter,August
Abbotsford,2,u,542000.0,2016-08-10,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,2,u,760000.0,2016-10-12,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Spring,October
Abbotsford,1,u,481000.0,2016-10-12,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Spring,October
Abbotsford,2,u,700000.0,2016-12-11,3067.0,2.0,1.0,-37.811,145.0067,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Abbotsford,3,h,1350000.0,2016-12-11,3067.0,2.0,2.0,-37.8085,144.9964,Northern Metropolitan,1M - 3M,2016,Summer,December
Abbotsford,2,u,750000.0,2016-12-11,3067.0,2.0,1.0,-37.8078,144.9965,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Abbotsford,4,h,1985000.0,2016-12-11,3067.0,1.0,1.0,-37.8084,144.9942,Northern Metropolitan,1M - 3M,2016,Summer,December
Abbotsford,1,u,500000.0,2016-12-11,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Summer,December
Abbotsford,2,h,1172500.0,2016-08-13,3067.0,1.0,1.0,-37.8084,144.9973,Northern Metropolitan,1M - 3M,2016,Winter,August
Abbotsford,1,u,441000.0,2016-05-14,3067.0,1.0,1.0,-37.8016,144.9988,Northern Metropolitan,0.1M - 1M,2016,Autumn,May
Abbotsford,2,h,1310000.0,2016-10-15,3067.0,1.0,2.0,-37.809,144.9976,Northern Metropolitan,1M - 3M,2016,Spring,October
Abbotsford,3,h,1200000.0,2016-07-16,3067.0,2.0,1.0,-37.8056,144.993,Northern Metropolitan,1M - 3M,2016,Winter,July
Abbotsford,2,t,847000.0,2016-07-16,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,July
Abbotsford,3,h,1176500.0,2016-07-16,3067.0,1.0,1.0,-37.8021,144.9965,Northern Metropolitan,1M - 3M,2016,Winter,July
Abbotsford,3,h,955000.0,2016-09-17,3067.0,1.0,0.0,-37.8022,144.9975,Northern Metropolitan,0.1M - 1M,2016,Spring,September
Abbotsford,2,h,890000.0,2016-09-17,3067.0,1.0,1.0,-37.8011,145.0004,Northern Metropolitan,0.1M - 1M,2016,Spring,September
Abbotsford,4,h,1330000.0,2017-03-18,3067.0,2.0,2.0,-37.8073,144.9952,Northern Metropolitan,1M - 3M,2017,Autumn,March
Abbotsford,3,t,900000.0,2017-03-18,3067.0,2.0,2.0,-37.8093,144.9959,Northern Metropolitan,0.1M - 1M,2017,Autumn,March
Abbotsford,3,u,1090000.0,2017-03-18,3067.0,2.0,2.0,-37.8078,144.9965,Northern Metropolitan,1M - 3M,2017,Autumn,March
Abbotsford,2,u,500000.0,2016-06-18,3067.0,1.0,1.0,-37.8015,144.9972,Northern Metropolitan,0.1M - 1M,2016,Winter,June
Abbotsford,2,h,1100000.0,2016-06-18,3067.0,2.0,1.0,-37.8079,144.9977,Northern Metropolitan,1M - 3M,2016,Winter,June
Abbotsford,2,h,1315000.0,2016-11-19,3067.0,1.0,0.0,-37.808,144.994,Northern Metropolitan,1M - 3M,2016,Spring,November
Abbotsford,1,u,480000.0,2016-11-19,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Spring,November
Abbotsford,1,u,423500.0,2016-05-22,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Autumn,May
Abbotsford,1,u,426000.0,2016-08-22,3067.0,1.0,1.0,-37.8016,144.9988,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,3,h,1447500.0,2016-08-22,3067.0,3.0,1.0,-37.8017,145.0001,Northern Metropolitan,1M - 3M,2016,Winter,August
Abbotsford,1,u,457000.0,2016-08-22,3067.0,1.0,1.0,-37.8078,144.9965,Northern Metropolitan,0.1M - 1M,2016,Winter,August
Abbotsford,2,h,1135000.0,2016-08-22,3067.0,2.0,2.0,-37.8005,144.9952,Northern Metropolitan,1M - 3M,2016,Winter,August
Abbotsford,2,h,700000.0,2016-04-23,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Autumn,April
Abbotsford,4,h,1542000.0,2016-09-24,3067.0,3.0,1.0,-37.7994,144.9965,Northern Metropolitan,1M - 3M,2016,Spring,September
Abbotsford,3,t,962000.0,2017-02-25,3067.0,1.0,1.0,-37.7972,144.9969,Northern Metropolitan,0.1M - 1M,2017,Summer,February
Abbotsford,3,h,1290000.0,2017-02-25,3067.0,2.0,2.0,-37.805,144.9943,Northern Metropolitan,1M - 3M,2017,Summer,February
Abbotsford,3,h,1290000.0,2017-02-25,3067.0,1.0,1.0,-37.8007,144.9958,Northern Metropolitan,1M - 3M,2017,Summer,February
Abbotsford,1,u,470000.0,2016-07-26,3067.0,1.0,1.0,-37.8055,144.9961,Northern Metropolitan,0.1M - 1M,2016,Winter,July
Abbotsford,2,h,1180000.0,2016-11-27,3067.0,1.0,0.0,-37.8016,144.9956,Northern Metropolitan,1M - 3M,2016,Spring,November
Abbotsford,3,h,1195000.0,2016-11-27,3067.0,2.0,1.0,-37.8022,144.9954,Northern Metropolitan,1M - 3M,2016,Spring,November
Abbotsford,2,h,1012500.0,2016-05-28,3067.0,1.0,0.0,-37.8021,144.9976,Northern Metropolitan,1M - 3M,2016,Autumn,May
Abbotsford,2,u,970000.0,2016-05-28,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Autumn,May
Abbotsford,2,h,1030000.0,2016-07-30,3067.0,1.0,1.0,-37.8086,144.9946,Northern Metropolitan,1M - 3M,2016,Winter,July
Abbotsford,3,h,927000.0,2016-07-30,3067.0,1.0,1.0,-37.804,144.9973,Northern Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,t,840000.0,2016-03-09,3042.0,2.0,1.0,-37.718,144.878,Western Metropolitan,0.1M - 1M,2016,Autumn,March
Airport West,3,h,730000.0,2016-03-12,3042.0,2.0,1.0,-37.7203,144.8755,Western Metropolitan,0.1M - 1M,2016,Autumn,March
Airport West,3,h,770000.0,2017-04-03,3042.0,2.0,1.0,-37.7203,144.8755,Western Metropolitan,0.1M - 1M,2017,Autumn,April
Airport West,2,h,603000.0,2017-04-03,3042.0,1.0,1.0,-37.7294,144.888,Western Metropolitan,0.1M - 1M,2017,Autumn,April
Airport West,3,t,700000.0,2017-04-03,3042.0,2.0,2.0,-37.7218,144.8837,Western Metropolitan,0.1M - 1M,2017,Autumn,April
Airport West,3,h,600000.0,2017-04-03,3042.0,1.0,1.0,-37.7273,144.8744,Western Metropolitan,0.1M - 1M,2017,Autumn,April
Airport West,2,u,500000.0,2017-04-03,3042.0,1.0,1.0,-37.7215,144.8864,Western Metropolitan,0.1M - 1M,2017,Autumn,April
Airport West,2,t,420000.0,2016-04-06,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Autumn,April
Airport West,3,t,500000.0,2016-04-06,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Autumn,April
Airport West,5,h,1035000.0,2016-06-08,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,1M - 3M,2016,Winter,June
Airport West,4,h,960000.0,2016-06-08,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,4,h,960000.0,2016-06-08,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,3,h,720000.0,2016-06-08,3042.0,1.0,1.0,-37.7173,144.8872,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,4,h,785000.0,2016-06-08,3042.0,1.0,2.0,-37.7259,144.8792,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,6,h,725000.0,2016-07-05,3042.0,3.0,2.0,-37.7239,144.8735,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,2,t,450000.0,2016-07-05,3042.0,1.0,1.0,-37.7216,144.871,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,2,u,515000.0,2016-07-11,3042.0,1.0,1.0,-37.7298,144.8883,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,h,680000.0,2016-08-10,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,2,u,530000.0,2016-10-09,3042.0,1.0,1.0,-37.7234,144.8792,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,h,895000.0,2016-10-09,3042.0,1.0,6.0,-37.7249,144.8728,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,u,600000.0,2016-10-09,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,h,805000.0,2016-10-12,3042.0,1.0,1.0,-37.7217,144.8783,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,t,760000.0,2016-10-12,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,u,752000.0,2017-11-02,3042.0,1.0,1.0,-37.7302,144.8855,Western Metropolitan,0.1M - 1M,2017,Spring,November
Airport West,3,u,580000.0,2016-12-11,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Summer,December
Airport West,3,h,725000.0,2016-12-11,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Summer,December
Airport West,4,h,758000.0,2016-08-13,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,2,u,440000.0,2016-08-13,3042.0,1.0,1.0,-37.7177,144.8787,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,3,h,970000.0,2016-05-14,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Autumn,May
Airport West,5,h,755000.0,2016-05-14,3042.0,2.0,2.0,-37.7248,144.8699,Western Metropolitan,0.1M - 1M,2016,Autumn,May
Airport West,4,h,985000.0,2016-10-15,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,t,700000.0,2016-10-15,3042.0,2.0,2.0,-37.727,144.887,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,2,u,509500.0,2016-10-15,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,October
Airport West,3,h,830000.0,2016-04-16,3042.0,1.0,2.0,-37.7186,144.876,Western Metropolitan,0.1M - 1M,2016,Autumn,April
Airport West,2,u,462500.0,2016-07-16,3042.0,1.0,1.0,-37.7218,144.8863,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,h,670000.0,2016-07-16,3042.0,2.0,2.0,-37.7269,144.8742,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,2,h,675000.0,2016-07-16,3042.0,1.0,1.0,-37.7187,144.8765,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,h,1042000.0,2016-07-16,3042.0,2.0,5.0,-37.7173,144.8796,Western Metropolitan,1M - 3M,2016,Winter,July
Airport West,3,h,910000.0,2016-09-17,3042.0,1.0,1.0,-37.7231,144.8835,Western Metropolitan,0.1M - 1M,2016,Spring,September
Airport West,4,h,773000.0,2016-09-17,3042.0,3.0,4.0,-37.7263,144.8679,Western Metropolitan,0.1M - 1M,2016,Spring,September
Airport West,3,h,715000.0,2016-09-17,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,September
Airport West,3,h,810000.0,2017-03-18,3042.0,3.0,2.0,-37.7285,144.8694,Western Metropolitan,0.1M - 1M,2017,Autumn,March
Airport West,3,h,715000.0,2017-03-18,3042.0,2.0,2.0,-37.7164,144.8792,Western Metropolitan,0.1M - 1M,2017,Autumn,March
Airport West,3,h,790000.0,2017-03-18,3042.0,1.0,3.0,-37.7194,144.8827,Western Metropolitan,0.1M - 1M,2017,Autumn,March
Airport West,2,t,460000.0,2016-06-18,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,3,t,540000.0,2016-06-18,3042.0,2.0,1.0,-37.7231,144.8802,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,3,t,825000.0,2016-11-19,3042.0,2.0,1.0,-37.72,144.8776,Western Metropolitan,0.1M - 1M,2016,Spring,November
Airport West,3,h,685000.0,2016-05-22,3042.0,1.0,1.0,-37.7226,144.8733,Western Metropolitan,0.1M - 1M,2016,Autumn,May
Airport West,3,u,445000.0,2016-05-22,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Autumn,May
Airport West,3,h,805000.0,2016-08-22,3042.0,1.0,1.0,-37.7184,144.882,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,2,u,510000.0,2016-08-22,3042.0,1.0,1.0,-37.7202,144.8797,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,3,h,612000.0,2016-08-22,3042.0,2.0,1.0,-37.7181,144.8824,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,3,h,662000.0,2016-04-23,3042.0,1.0,2.0,-37.7169,144.8815,Western Metropolitan,0.1M - 1M,2016,Autumn,April
Airport West,4,h,978000.0,2016-09-24,3042.0,3.0,2.0,-37.7263,144.869,Western Metropolitan,0.1M - 1M,2016,Spring,September
Airport West,3,h,720000.0,2017-02-25,3042.0,1.0,1.0,-37.72,144.878,Western Metropolitan,0.1M - 1M,2017,Summer,February
Airport West,2,u,474000.0,2016-07-26,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,2,t,490000.0,2016-07-26,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,h,405000.0,2016-06-27,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,June
Airport West,3,t,715000.0,2016-11-27,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,November
Airport West,3,u,671500.0,2016-11-27,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Spring,November
Airport West,4,h,765000.0,2016-11-27,3042.0,1.0,2.0,-37.7261,144.8785,Western Metropolitan,0.1M - 1M,2016,Spring,November
Airport West,4,h,900000.0,2016-11-27,3042.0,2.0,3.0,-37.7256,144.8739,Western Metropolitan,0.1M - 1M,2016,Spring,November
Airport West,3,u,820000.0,2016-08-28,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,August
Airport West,3,u,650000.0,2016-07-30,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,July
Airport West,3,t,552000.0,2016-07-30,3042.0,1.0,1.0,-37.7232,144.8795,Western Metropolitan,0.1M - 1M,2016,Winter,July
Albert Park,2,h,1275000.0,2016-03-09,3206.0,1.0,0.0,-37.8459,144.9555,Southern Metropolitan,1M - 3M,2016,Autumn,March
Albert Park,2,h,1455000.0,2016-03-09,3206.0,1.0,0.0,-37.845,144.9538,Southern Metropolitan,1M - 3M,2016,Autumn,March
Albert Park,3,h,2850000.0,2017-04-03,3206.0,2.0,0.0,-37.8481,144.9499,Southern Metropolitan,1M - 3M,2017,Autumn,April
Albert Park,3,h,1850000.0,2017-04-03,3206.0,2.0,0.0,-37.8452,144.9488,Southern Metropolitan,1M - 3M,2017,Autumn,April
Albert Park,2,h,1436000.0,2017-04-03,3206.0,1.0,0.0,-37.8431,144.9565,Southern Metropolitan,1M - 3M,2017,Autumn,April
Albert Park,2,h,1110000.0,2016-06-08,3206.0,1.0,0.0,-37.8444,144.9484,Southern Metropolitan,1M - 3M,2016,Winter,June
Albert Park,2,h,1550000.0,2016-07-05,3206.0,1.0,1.0,-37.8405,144.9521,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,4,h,2300000.0,2016-07-05,3206.0,2.0,1.0,-37.8447,144.9523,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,3,t,1550000.0,2016-07-11,3206.0,2.0,2.0,-37.8443,144.9598,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,3,h,1800000.0,2016-07-11,3206.0,2.0,1.0,-37.8415,144.952,Southern Metropolitan,1M - 3M,2016,Winter,July
Albert Park,3,h,2485000.0,2016-08-10,3206.0,1.0,1.0,-37.8443,144.9529,Southern Metropolitan,1M - 3M,2016,Winter,August
Albert Park,2,h,2120000.0,2016-10-09,3206.0,1.0,1.0,-37.8422,144.9554,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,1800000.0,2016-10-09,3206.0,1.0,1.0,-37.8443,144.9579,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,1800000.0,2016-10-09,3206.0,2.0,1.0,-37.8421,144.9571,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,2,h,1810000.0,2016-10-12,3206.0,1.0,0.0,-37.8379,144.9539,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,2615000.0,2016-10-12,3206.0,2.0,1.0,-37.8415,144.9585,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,5,h,2100000.0,2016-10-12,3206.0,2.0,1.0,-37.8436,144.9557,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,1300000.0,2016-10-12,3206.0,1.0,0.0,-37.8422,144.94899999999996,Southern Metropolitan,1M - 3M,2016,Spring,October
Albert Park,3,h,1370000.0,2016-12-06,3206.0,2.0,2.0,-37.8451,144.9511,Southern Metropolitan,1M - 3M,2016,Summer,December
