Suburb,Quarter,Price,Year
Abbotsford,2016Q1,1480000.0,2016
Abbotsford,2016Q2,1035000.0,2016
Abbotsford,2016Q3,1135000.0,2016
Abbotsford,2016Q4,1312500.0,2016
Abbotsford,2017Q1,1310000.0,2017
Abbotsford,2017Q2,1165000.0,2017
Abbotsford,2017Q3,1200000.0,2017
Abbotsford,2017Q4,1250000.0,2017
Abbotsford,2018Q1,1200000.0,2018
Abbotsford,2018Q3,1205000.0,2018
Abbotsford,2018Q4,1185000.0,2018
Abbotsford,2019Q1,992500.0,2019
Abbotsford,2019Q2,935000.0,2019
Abbotsford,2019Q3,1160000.0,2019
Aberfeldie,2016Q2,1740000.0,2016
Aberfeldie,2016Q3,1245000.0,2016
Aberfeldie,2016Q4,1452500.0,2016
Aberfeldie,2017Q1,1325000.0,2017
Aberfeldie,2017Q2,1488000.0,2017
Aberfeldie,2017Q3,1472000.0,2017
Aberfeldie,2017Q4,1905000.0,2017
Aberfeldie,2018Q1,1350000.0,2018
Aberfeldie,2018Q2,1630000.0,2018
Aberfeldie,2018Q3,1610000.0,2018
Aberfeldie,2018Q4,1380500.0,2018
Aberfeldie,2019Q1,1420000.0,2019
Aberfeldie,2019Q2,1172500.0,2019
Aberfeldie,2019Q3,1352500.0,2019
Aintree,2018Q3,635000.0,2018
Aintree,2018Q4,563500.0,2018
Aintree,2019Q1,575000.0,2019
Aintree,2019Q2,605000.0,2019
Aintree,2019Q3,575000.0,2019
Aireys Inlet,2018Q3,884500.0,2018
Aireys Inlet,2018Q4,1007500.0,2018
Aireys Inlet,2019Q1,925000.0,2019
Aireys Inlet,2019Q2,719000.0,2019
Aireys Inlet,2019Q3,700000.0,2019
Airport West,2016Q1,730000.0,2016
Airport West,2016Q2,785000.0,2016
Airport West,2016Q3,741500.0,2016
Airport West,2016Q4,850000.0,2016
Airport West,2017Q1,827500.0,2017
Airport West,2017Q2,818000.0,2017
Airport West,2017Q3,866250.0,2017
Airport West,2017Q4,826000.0,2017
Airport West,2018Q1,855000.0,2018
Airport West,2018Q2,970000.0,2018
Airport West,2018Q3,880000.0,2018
Airport West,2018Q4,792500.0,2018
Airport West,2019Q1,749000.0,2019
Airport West,2019Q2,758000.0,2019
Airport West,2019Q3,821500.0,2019
Albanvale,2017Q2,526500.0,2017
Albanvale,2017Q3,547500.0,2017
Albanvale,2017Q4,560000.0,2017
Albanvale,2018Q3,540000.0,2018
Albanvale,2018Q4,530000.0,2018
Albanvale,2019Q1,520000.0,2019
Albanvale,2019Q2,491500.0,2019
Albanvale,2019Q3,500000.0,2019
Albert Park,2016Q1,1365000.0,2016
Albert Park,2016Q2,2050000.0,2016
Albert Park,2016Q3,2000000.0,2016
Albert Park,2016Q4,1800000.0,2016
Albert Park,2017Q1,1962500.0,2017
Albert Park,2017Q2,1850000.0,2017
Albert Park,2017Q3,2282500.0,2017
Albert Park,2017Q4,2040000.0,2017
Albert Park,2018Q1,1650000.0,2018
Albert Park,2018Q2,1950000.0,2018
Albert Park,2018Q3,2305000.0,2018
Albert Park,2018Q4,1960000.0,2018
Albert Park,2019Q1,1708500.0,2019
Albert Park,2019Q2,1750000.0,2019
Albert Park,2019Q3,2465000.0,2019
Albion,2016Q2,600000.0,2016
Albion,2016Q3,460000.0,2016
Albion,2016Q4,740000.0,2016
Albion,2017Q1,672500.0,2017
Albion,2017Q2,730000.0,2017
Albion,2017Q3,760000.0,2017
Albion,2017Q4,732500.0,2017
Albion,2018Q1,750000.0,2018
Albion,2018Q3,715000.0,2018
Albion,2018Q4,800500.0,2018
Albion,2019Q1,672500.0,2019
Albion,2019Q2,704000.0,2019
Albion,2019Q3,600000.0,2019
Alexandra,2018Q3,335000.0,2018
Alexandra,2018Q4,330000.0,2018
Alexandra,2019Q1,354500.0,2019
Alexandra,2019Q2,310000.0,2019
Alexandra,2019Q3,285000.0,2019
Alfredton,2018Q3,455000.0,2018
Alfredton,2018Q4,421000.0,2018
Alfredton,2019Q1,465000.0,2019
Alfredton,2019Q2,455000.0,2019
Alfredton,2019Q3,500000.0,2019
Alphington,2016Q1,1555000.0,2016
Alphington,2016Q2,1015000.0,2016
Alphington,2016Q3,1485000.0,2016
Alphington,2016Q4,2000000.0,2016
Alphington,2017Q1,1950000.0,2017
Alphington,2017Q2,1725000.0,2017
Alphington,2017Q3,1305000.0,2017
Alphington,2017Q4,1813500.0,2017
Alphington,2018Q1,1720000.0,2018
Alphington,2018Q3,1140000.0,2018
Alphington,2018Q4,1750000.0,2018
Alphington,2019Q1,1550000.0,2019
Alphington,2019Q2,1380000.0,2019
Alphington,2019Q3,1520000.0,2019
Altona,2016Q1,1022500.0,2016
Altona,2016Q2,780000.0,2016
Altona,2016Q3,726000.0,2016
Altona,2016Q4,990000.0,2016
Altona,2017Q1,870000.0,2017
Altona,2017Q2,1142500.0,2017
Altona,2017Q3,935000.0,2017
Altona,2017Q4,1060000.0,2017
Altona,2018Q1,1213000.0,2018
Altona,2018Q2,887500.0,2018
Altona,2018Q3,915000.0,2018
Altona,2018Q4,1000000.0,2018
Altona,2019Q1,840000.0,2019
Altona,2019Q2,851500.0,2019
Altona,2019Q3,900000.0,2019
Altona East,2018Q3,855000.0,2018
Altona East,2018Q4,850000.0,2018
Altona East,2019Q1,767500.0,2019
Altona East,2019Q2,827500.0,2019
Altona East,2019Q3,900000.0,2019
Altona Meadows,2017Q1,590000.0,2017
Altona Meadows,2017Q2,820000.0,2017
Altona Meadows,2017Q3,685000.0,2017
Altona Meadows,2017Q4,650000.0,2017
Altona Meadows,2018Q1,632500.0,2018
Altona Meadows,2018Q2,718000.0,2018
Altona Meadows,2018Q3,620000.0,2018
Altona Meadows,2018Q4,665000.0,2018
Altona Meadows,2019Q1,713800.0,2019
Altona Meadows,2019Q2,592500.0,2019
Altona Meadows,2019Q3,625000.0,2019
Altona North,2016Q1,857500.0,2016
Altona North,2016Q2,688000.0,2016
Altona North,2016Q3,728500.0,2016
Altona North,2016Q4,700000.0,2016
Altona North,2017Q1,863000.0,2017
Altona North,2017Q2,872500.0,2017
Altona North,2017Q3,855000.0,2017
Altona North,2017Q4,930000.0,2017
Altona North,2018Q1,835000.0,2018
Altona North,2018Q2,800000.0,2018
Altona North,2018Q3,880000.0,2018
Altona North,2018Q4,780000.0,2018
Altona North,2019Q1,800000.0,2019
Altona North,2019Q2,755000.0,2019
